
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-12-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 3.5
Magnitude Max:, 3.7
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 9644101
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 15977, 0.3568, 5.2706, -, 1.8, 9.0, 0.0, "9644101", 2001, "Pleasants Peak", 3.64, strike slip, 12.56, 12.67, 699.0, 0.1375, 5.2706, RSN15977_9644101_CIPLSHHN.AT2, RSN15977_9644101_CIPLSHHE.AT2 , RSN15977_9644101_CIPLSHHZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-15977 RotD50 pSa (g)
0.17,0.019,0.02658292,0.02658292,0.02658292,0.02658292
0.18,0.018,0.03143132,0.03143132,0.03143132,0.03143132
0.19,0.018,0.03156263,0.03156263,0.03156263,0.03156263
0.2,0.017,0.03071853,0.03071853,0.03071853,0.03071853
0.22,0.016,0.02733114,0.02733114,0.02733114,0.02733114
0.24,0.015,0.02619399,0.02619399,0.02619399,0.02619399
0.25,0.015,0.02595068,0.02595068,0.02595068,0.02595068
0.26,0.014,0.02864757,0.02864757,0.02864757,0.02864757
0.28,0.013,0.02977626,0.02977626,0.02977626,0.02977626
0.29,0.013,0.0288745,0.0288745,0.0288745,0.0288745
0.3,0.013,0.02705822,0.02705822,0.02705822,0.02705822
0.32,0.012,0.02341965,0.02341965,0.02341965,0.02341965
0.34,0.011,0.01955355,0.01955355,0.01955355,0.01955355
0.35,0.011,0.01845519,0.01845519,0.01845519,0.01845519
0.36,0.011,0.01751897,0.01751897,0.01751897,0.01751897
0.38,0.01,0.01588717,0.01588717,0.01588717,0.01588717
0.4,0.01,0.01481097,0.01481097,0.01481097,0.01481097
0.42,0.009,0.01478584,0.01478584,0.01478584,0.01478584
0.44,0.009,0.01593017,0.01593017,0.01593017,0.01593017
0.45,0.009,0.01648013,0.01648013,0.01648013,0.01648013
0.46,0.009,0.01714192,0.01714192,0.01714192,0.01714192
0.48,0.008,0.01785337,0.01785337,0.01785337,0.01785337
0.5,0.008,0.0172078,0.0172078,0.0172078,0.0172078
0.55,0.007,0.01348018,0.01348018,0.01348018,0.01348018
0.6,0.007,0.0095974,0.0095974,0.0095974,0.0095974
0.65,0.006,0.00675091,0.00675091,0.00675091,0.00675091
0.667,0.006,0.00588602,0.00588602,0.00588602,0.00588602
0.7,0.005,0.00475749,0.00475749,0.00475749,0.00475749
0.75,0.005,0.00402776,0.00402776,0.00402776,0.00402776
0.8,0.005,0.00362929,0.00362929,0.00362929,0.00362929
0.85,0.004,0.00325119,0.00325119,0.00325119,0.00325119
0.9,0.004,0.00321903,0.00321903,0.00321903,0.00321903
0.95,0.004,0.00293754,0.00293754,0.00293754,0.00293754
1.0,0.003,0.00260065,0.00260065,0.00260065,0.00260065
1.1,0.003,0.00207112,0.00207112,0.00207112,0.00207112
1.2,0.003,0.0016948,0.0016948,0.0016948,0.0016948
1.3,0.002,0.00130661,0.00130661,0.00130661,0.00130661
1.4,0.002,0.00120753,0.00120753,0.00120753,0.00120753
1.5,0.002,0.00103461,0.00103461,0.00103461,0.00103461
1.6,0.002,0.00086312,0.00086312,0.00086312,0.00086312
1.7,0.001,0.00086272,0.00086272,0.00086272,0.00086272
1.8,0.001,0.00072487,0.00072487,0.00072487,0.00072487
1.9,0.001,0.0006216,0.0006216,0.0006216,0.0006216
2.0,0.001,0.00053255,0.00053255,0.00053255,0.00053255
2.2,0.001,0.00041854,0.00041854,0.00041854,0.00041854
2.4,0.001,0.00036689,0.00036689,0.00036689,0.00036689
2.5,0.001,0.00035503,0.00035503,0.00035503,0.00035503
2.6,0.001,0.000348,0.000348,0.000348,0.000348
2.8,0.001,0.00032645,0.00032645,0.00032645,0.00032645
3.0,0.001,0.0002929,0.0002929,0.0002929,0.0002929
3.2,0.001,0.00024863,0.00024863,0.00024863,0.00024863
3.4,0.0,0.00021778,0.00021778,0.00021778,0.00021778
3.5,0.0,0.0002041,0.0002041,0.0002041,0.0002041
3.6,0.0,0.0001956,0.0001956,0.0001956,0.0001956
3.8,0.0,0.00017735,0.00017735,0.00017735,0.00017735
4.0,0.0,0.00016236,0.00016236,0.00016236,0.00016236
4.2,0.0,0.00013987,0.00013987,0.00013987,0.00013987
4.4,0.0,0.00012316,0.00012316,0.00012316,0.00012316
4.6,0.0,0.00011198,0.00011198,0.00011198,0.00011198
4.8,0.0,0.00010157,0.00010157,0.00010157,0.00010157
5.0,0.0,9.221e-05,9.221e-05,9.221e-05,9.221e-05
5.5,0.0,7.256e-05,7.256e-05,7.256e-05,7.256e-05
6.0,0.0,5.723e-05,5.723e-05,5.723e-05,5.723e-05
6.5,0.0,4.554e-05,4.554e-05,4.554e-05,4.554e-05
7.0,0.0,3.807e-05,3.807e-05,3.807e-05,3.807e-05
7.5,0.0,3.274e-05,3.274e-05,3.274e-05,3.274e-05
8.0,0.0,2.835e-05,2.835e-05,2.835e-05,2.835e-05
8.5,0.0,2.474e-05,2.474e-05,2.474e-05,2.474e-05
9.0,0.0,2.176e-05,2.176e-05,2.176e-05,2.176e-05
9.5,0.0,1.936e-05,1.936e-05,1.936e-05,1.936e-05
10.0,0.0,1.733e-05,1.733e-05,1.733e-05,1.733e-05
11.0,0.0,1.406e-05,1.406e-05,1.406e-05,1.406e-05
12.0,0.0,1.171e-05,1.171e-05,1.171e-05,1.171e-05
13.0,0.0,9.98e-06,9.98e-06,9.98e-06,9.98e-06
14.0,0.0,8.59e-06,8.59e-06,8.59e-06,8.59e-06
15.0,0.0,7.47e-06,7.47e-06,7.47e-06,7.47e-06
20.0,0.0,4.18e-06,4.18e-06,4.18e-06,4.18e-06

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-15977 Horizontal-1 pSa (g),RSN-15977 Horizontal-2 pSa (g),RSN-15977 Vertical pSa (g)
0.01,0.00195869,0.00184113,0.00136
0.02,0.00193426,0.00181622,0.00134
0.022,0.00193919,0.0018193,0.00135
0.025,0.00194854,0.00182575,0.00137
0.029,0.00196619,0.00184923,0.00137
0.03,0.00197348,0.00185785,0.00137
0.032,0.00199078,0.00185153,0.00138
0.035,0.00198883,0.00187136,0.0015
0.036,0.00200352,0.00188473,0.00155
0.04,0.00203611,0.00190488,0.00152
0.042,0.00204495,0.00188931,0.00154
0.044,0.00203029,0.00194066,0.0015
0.045,0.00201759,0.00195953,0.00147
0.046,0.00201727,0.00199445,0.00146
0.048,0.0020847,0.00198993,0.0015
0.05,0.00217686,0.00196885,0.00159
0.055,0.00228158,0.00216745,0.00179
0.06,0.00249857,0.00233069,0.00153
0.065,0.00241256,0.00230051,0.00175
0.067,0.00245595,0.00231093,0.00176
0.07,0.00269527,0.00248626,0.00172
0.075,0.00285124,0.00262388,0.00171
0.08,0.00283465,0.00244475,0.00178
0.085,0.00248206,0.00247228,0.00188
0.09,0.00277695,0.0026598,0.00211
0.095,0.00334629,0.00288093,0.00232
0.1,0.0035228,0.00300317,0.0024
0.11,0.00389124,0.00355803,0.00315
0.12,0.00413465,0.00390966,0.00313
0.13,0.00346691,0.00417638,0.00274
0.133,0.00320853,0.00410072,0.00256
0.14,0.00314518,0.00410809,0.00254
0.15,0.00285135,0.00406116,0.00324
0.16,0.0030787,0.00461927,0.00342
0.17,0.00403539,0.00580968,0.00397
0.18,0.00483545,0.00661449,0.00416
0.19,0.00516122,0.00646152,0.00402
0.2,0.00517636,0.00656364,0.0038
0.22,0.00528586,0.00605436,0.00295
0.24,0.00511261,0.00526163,0.00223
0.25,0.00542591,0.00479171,0.0021
0.26,0.00570599,0.00530806,0.00204
0.28,0.00595617,0.00557342,0.00191
0.29,0.00583752,0.00537961,0.00187
0.3,0.00545684,0.00500979,0.00185
0.32,0.00425735,0.00466936,0.00187
0.34,0.00327426,0.00409497,0.00197
0.35,0.00306491,0.00377603,0.00171
0.36,0.00296523,0.00350772,0.00155
0.38,0.0029109,0.00311826,0.00179
0.4,0.00291253,0.00270372,0.00196
0.42,0.00303161,0.00235361,0.00201
0.44,0.00344215,0.00224529,0.00177
0.45,0.00361975,0.00226208,0.00166
0.46,0.00378925,0.00219283,0.00157
0.48,0.00423314,0.00200011,0.00142
0.5,0.00427244,0.0017936,0.00128
0.55,0.00343974,0.00123566,0.00103
0.6,0.0022889,0.00079272,0.000798
0.65,0.00146272,0.00075024,0.000601
0.667,0.00129567,0.00075423,0.000537
0.7,0.00110986,0.0007387,0.000419
0.75,0.00088695,0.00071755,0.000322
0.8,0.00070747,0.000724,0.00036
0.85,0.00055311,0.00071612,0.000299
0.9,0.00052763,0.00065956,0.000228
0.95,0.00050962,0.00057155,0.000207
1.0,0.00046945,0.00049951,0.000186
1.1,0.00034755,0.00043361,0.000164
1.2,0.00031031,0.00033596,0.00015
1.3,0.00026448,0.00023857,0.000143
1.4,0.00022883,0.00017047,0.000129
1.5,0.00023149,0.00014521,0.000114
1.6,0.00020977,0.00012057,0.00011
1.7,0.00020169,9.883e-05,0.000109
1.8,0.00016984,8.573e-05,0.000105
1.9,0.00014714,8.914e-05,9.62e-05
2.0,0.00011701,7.826e-05,8.43e-05
2.2,0.00010156,7.043e-05,6.58e-05
2.4,9.347e-05,6.19e-05,5.17e-05
2.5,8.879e-05,5.792e-05,4.85e-05
2.6,8.261e-05,5.422e-05,4.49e-05
2.8,7.213e-05,4.753e-05,3.74e-05
3.0,6.978e-05,4.182e-05,3.06e-05
3.2,6.393e-05,3.693e-05,2.49e-05
3.4,5.616e-05,3.263e-05,2.04e-05
3.5,5.197e-05,3.069e-05,1.85e-05
3.6,4.773e-05,2.889e-05,1.69e-05
3.8,3.956e-05,2.561e-05,1.42e-05
4.0,3.701e-05,2.269e-05,1.22e-05
4.2,3.42e-05,2.01e-05,1.05e-05
4.4,3.132e-05,1.784e-05,9.24e-06
4.6,2.852e-05,1.592e-05,8.18e-06
4.8,2.587e-05,1.428e-05,7.32e-06
5.0,2.342e-05,1.287e-05,6.62e-06
5.5,1.829e-05,9.99e-06,5.34e-06
6.0,1.439e-05,7.88e-06,4.44e-06
6.5,1.147e-05,6.38e-06,3.76e-06
7.0,9.3e-06,5.51e-06,3.22e-06
7.5,7.67e-06,4.81e-06,2.79e-06
8.0,6.42e-06,4.24e-06,2.44e-06
8.5,5.43e-06,3.77e-06,2.16e-06
9.0,4.74e-06,3.37e-06,1.92e-06
9.5,4.22e-06,3.03e-06,1.72e-06
10.0,3.78e-06,2.73e-06,1.55e-06
11.0,3.06e-06,2.24e-06,1.27e-06
12.0,2.52e-06,1.88e-06,1.07e-06
13.0,2.12e-06,1.6e-06,9.1e-07
14.0,1.81e-06,1.37e-06,7.8e-07
15.0,1.57e-06,1.19e-06,6.8e-07
20.0,8.6e-07,6.6e-07,3.8e-07
