
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-01-03


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 3.65
Magnitude Max:, 3.75
Rrup Min (km):, 10.0
Rrup Max (km):, 50.0
Rjb Min (km):, 10.0
Rjb Max (km):, 50.0
Vs30 Min (m/sec):, 600.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 14938
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 14938, 0.8408, 4.7613, -, 2.3, 6.0, 0.0, "51177644", 2007, "Carmenet Vineyards_ Sonoma_ CA_ USA", 3.7, strike slip, 14.07, 15.5, 760.0, 0.35, 4.7613, RSN14938_51177644_BKCVSHLN.AT2, RSN14938_51177644_BKCVSHLE.AT2 , RSN14938_51177644_BKCVSHLZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-14938 SRSS pSa (g)
0.18,0.03,0.04649266,0.04649266,0.04649266,0.04649266
0.19,0.029,0.04670739,0.04670739,0.04670739,0.04670739
0.2,0.028,0.04958509,0.04958509,0.04958509,0.04958509
0.22,0.026,0.05002871,0.05002871,0.05002871,0.05002871
0.24,0.024,0.05822357,0.05822357,0.05822357,0.05822357
0.25,0.024,0.06498591,0.06498591,0.06498591,0.06498591
0.26,0.023,0.07086472,0.07086472,0.07086472,0.07086472
0.28,0.022,0.07911794,0.07911794,0.07911794,0.07911794
0.29,0.021,0.08331954,0.08331954,0.08331954,0.08331954
0.3,0.02,0.08684688,0.08684688,0.08684688,0.08684688
0.32,0.019,0.08918002,0.08918002,0.08918002,0.08918002
0.34,0.018,0.08095938,0.08095938,0.08095938,0.08095938
0.35,0.018,0.07356451,0.07356451,0.07356451,0.07356451
0.36,0.017,0.06562816,0.06562816,0.06562816,0.06562816
0.38,0.017,0.05102748,0.05102748,0.05102748,0.05102748
0.4,0.016,0.04017798,0.04017798,0.04017798,0.04017798
0.42,0.015,0.03201019,0.03201019,0.03201019,0.03201019
0.44,0.014,0.02553667,0.02553667,0.02553667,0.02553667
0.45,0.014,0.02274682,0.02274682,0.02274682,0.02274682
0.46,0.014,0.0207497,0.0207497,0.0207497,0.0207497
0.48,0.013,0.01741952,0.01741952,0.01741952,0.01741952
0.5,0.013,0.01524973,0.01524973,0.01524973,0.01524973
0.55,0.012,0.01507599,0.01507599,0.01507599,0.01507599
0.6,0.01,0.01335979,0.01335979,0.01335979,0.01335979
0.65,0.009,0.01119963,0.01119963,0.01119963,0.01119963
0.667,0.009,0.01099253,0.01099253,0.01099253,0.01099253
0.7,0.009,0.01045177,0.01045177,0.01045177,0.01045177
0.75,0.008,0.00860454,0.00860454,0.00860454,0.00860454
0.8,0.007,0.00692908,0.00692908,0.00692908,0.00692908
0.85,0.007,0.00617657,0.00617657,0.00617657,0.00617657
0.9,0.006,0.00562211,0.00562211,0.00562211,0.00562211
0.95,0.006,0.00495019,0.00495019,0.00495019,0.00495019
1.0,0.005,0.00440062,0.00440062,0.00440062,0.00440062
1.1,0.005,0.00376932,0.00376932,0.00376932,0.00376932
1.2,0.004,0.00317595,0.00317595,0.00317595,0.00317595
1.3,0.004,0.00286295,0.00286295,0.00286295,0.00286295
1.4,0.003,0.00231848,0.00231848,0.00231848,0.00231848
1.5,0.003,0.00169174,0.00169174,0.00169174,0.00169174
1.6,0.003,0.00161776,0.00161776,0.00161776,0.00161776
1.7,0.002,0.00142925,0.00142925,0.00142925,0.00142925
1.8,0.002,0.00108827,0.00108827,0.00108827,0.00108827
1.9,0.002,0.00097173,0.00097173,0.00097173,0.00097173
2.0,0.002,0.00086465,0.00086465,0.00086465,0.00086465
2.2,0.002,0.00069064,0.00069064,0.00069064,0.00069064
2.4,0.001,0.00055111,0.00055111,0.00055111,0.00055111
2.5,0.001,0.00048273,0.00048273,0.00048273,0.00048273
2.6,0.001,0.00042508,0.00042508,0.00042508,0.00042508
2.8,0.001,0.00033917,0.00033917,0.00033917,0.00033917
3.0,0.001,0.00028883,0.00028883,0.00028883,0.00028883
3.2,0.001,0.00026233,0.00026233,0.00026233,0.00026233
3.4,0.001,0.0002298,0.0002298,0.0002298,0.0002298
3.5,0.001,0.00021517,0.00021517,0.00021517,0.00021517
3.6,0.001,0.00020126,0.00020126,0.00020126,0.00020126
3.8,0.001,0.0001764,0.0001764,0.0001764,0.0001764
4.0,0.001,0.00015561,0.00015561,0.00015561,0.00015561
4.2,0.001,0.0001385,0.0001385,0.0001385,0.0001385
4.4,0.001,0.00012449,0.00012449,0.00012449,0.00012449
4.6,0.0,0.00011302,0.00011302,0.00011302,0.00011302
4.8,0.0,0.0001035,0.0001035,0.0001035,0.0001035
5.0,0.0,9.541e-05,9.541e-05,9.541e-05,9.541e-05
5.5,0.0,7.879e-05,7.879e-05,7.879e-05,7.879e-05
6.0,0.0,6.54e-05,6.54e-05,6.54e-05,6.54e-05
6.5,0.0,5.491e-05,5.491e-05,5.491e-05,5.491e-05
7.0,0.0,4.692e-05,4.692e-05,4.692e-05,4.692e-05
7.5,0.0,4.072e-05,4.072e-05,4.072e-05,4.072e-05
8.0,0.0,3.574e-05,3.574e-05,3.574e-05,3.574e-05
8.5,0.0,3.164e-05,3.164e-05,3.164e-05,3.164e-05
9.0,0.0,2.82e-05,2.82e-05,2.82e-05,2.82e-05
9.5,0.0,2.529e-05,2.529e-05,2.529e-05,2.529e-05
10.0,0.0,2.281e-05,2.281e-05,2.281e-05,2.281e-05
11.0,0.0,1.881e-05,1.881e-05,1.881e-05,1.881e-05
12.0,0.0,1.578e-05,1.578e-05,1.578e-05,1.578e-05
13.0,0.0,1.342e-05,1.342e-05,1.342e-05,1.342e-05
14.0,0.0,1.156e-05,1.156e-05,1.156e-05,1.156e-05
15.0,0.0,1.006e-05,1.006e-05,1.006e-05,1.006e-05
20.0,0.0,5.65e-06,5.65e-06,5.65e-06,5.65e-06

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-14938 Horizontal-1 pSa (g),RSN-14938 Horizontal-2 pSa (g),RSN-14938 Vertical pSa (g)
0.01,0.00305854,0.00433097,0.00223
0.02,0.0030939,0.00428969,0.00241
0.022,0.00320942,0.00435883,0.00247
0.025,0.0035448,0.00451914,0.00254
0.029,0.00344834,0.00455053,0.00325
0.03,0.00357832,0.00463545,0.00317
0.032,0.00393421,0.00482941,0.00296
0.035,0.00364732,0.00462909,0.00336
0.036,0.00392582,0.00495774,0.00314
0.04,0.00472235,0.00547635,0.00309
0.042,0.00460692,0.00529293,0.00311
0.044,0.00465891,0.00516136,0.0033
0.045,0.00467297,0.0051873,0.00331
0.046,0.00442912,0.00528329,0.00337
0.048,0.00467029,0.00565945,0.00318
0.05,0.00494256,0.00562606,0.00322
0.055,0.00499393,0.00571561,0.00355
0.06,0.00453385,0.00588417,0.00513
0.065,0.00545587,0.00723637,0.00463
0.067,0.00508231,0.00717556,0.00442
0.07,0.00495014,0.00684044,0.00475
0.075,0.00490219,0.00704382,0.00528
0.08,0.00513511,0.007683,0.00613
0.085,0.00588225,0.00854377,0.00637
0.09,0.00595719,0.00740556,0.00569
0.095,0.00598505,0.00675864,0.00596
0.1,0.00621679,0.00768008,0.00662
0.11,0.00815326,0.00811945,0.0076
0.12,0.00656413,0.00697907,0.00475
0.13,0.00648925,0.00698904,0.00442
0.133,0.00647911,0.00650143,0.00416
0.14,0.00636101,0.0074101,0.00454
0.15,0.0077643,0.00793329,0.00494
0.16,0.00949916,0.0069709,0.00593
0.17,0.00818185,0.00678698,0.00648
0.18,0.00646145,0.00732101,0.00613
0.19,0.00542507,0.00817306,0.00521
0.2,0.00490488,0.0091867,0.00459
0.22,0.00514535,0.00916122,0.00487
0.24,0.00664413,0.01026591,0.00457
0.25,0.00618693,0.01216583,0.00462
0.26,0.00629459,0.01348673,0.00415
0.28,0.00778705,0.01467914,0.00456
0.29,0.00792364,0.01560245,0.00544
0.3,0.00815473,0.01631556,0.00599
0.32,0.00912654,0.01635602,0.00514
0.34,0.00829606,0.01484228,0.00383
0.35,0.00763279,0.01343332,0.00349
0.36,0.00695843,0.01189815,0.00335
0.38,0.00579553,0.0090148,0.00295
0.4,0.00482326,0.00692403,0.00297
0.42,0.00397463,0.00542219,0.00262
0.44,0.00309774,0.00437828,0.00206
0.45,0.00270375,0.00393868,0.00182
0.46,0.00239027,0.00364394,0.00165
0.48,0.00196321,0.00308718,0.00159
0.5,0.00169583,0.00271702,0.00151
0.55,0.00135278,0.0028628,0.00132
0.6,0.00167117,0.00225392,0.00105
0.65,0.00119152,0.00202808,0.000823
0.667,0.00110852,0.00202517,0.000723
0.7,0.00098707,0.00196069,0.000654
0.75,0.00070646,0.00166336,0.000701
0.8,0.00072552,0.00126153,0.00058
0.85,0.0007464,0.00106099,0.000468
0.9,0.00071562,0.00093922,0.000458
0.95,0.00062228,0.00083286,0.000518
1.0,0.00050069,0.00077687,0.000539
1.1,0.00040101,0.00068257,0.000468
1.2,0.00032135,0.00058452,0.00041
1.3,0.00024145,0.00055068,0.000362
1.4,0.0002218,0.00043349,0.000262
1.5,0.00018157,0.00030541,0.00019
1.6,0.00013234,0.00031294,0.000167
1.7,9.676e-05,0.00028416,0.000139
1.8,8.202e-05,0.00021334,0.000112
1.9,7.168e-05,0.00019109,8.92e-05
2.0,6.475e-05,0.00016966,7.19e-05
2.2,5.287e-05,0.00013507,5.81e-05
2.4,5.071e-05,0.00010405,4.97e-05
2.5,4.808e-05,8.926e-05,4.63e-05
2.6,4.51e-05,7.705e-05,4.29e-05
2.8,3.725e-05,6.072e-05,3.56e-05
3.0,2.826e-05,5.368e-05,2.93e-05
3.2,2.621e-05,4.846e-05,2.45e-05
3.4,2.292e-05,4.247e-05,2.06e-05
3.5,2.205e-05,3.945e-05,1.91e-05
3.6,2.115e-05,3.66e-05,1.84e-05
3.8,1.936e-05,3.159e-05,1.67e-05
4.0,1.769e-05,2.748e-05,1.47e-05
4.2,1.615e-05,2.419e-05,1.27e-05
4.4,1.469e-05,2.163e-05,1.12e-05
4.6,1.339e-05,1.96e-05,1.06e-05
4.8,1.229e-05,1.793e-05,9.9e-06
5.0,1.136e-05,1.651e-05,9.19e-06
5.5,9.48e-06,1.357e-05,7.61e-06
6.0,7.88e-06,1.125e-05,6.41e-06
6.5,6.59e-06,9.46e-06,5.49e-06
7.0,5.63e-06,8.09e-06,4.74e-06
7.5,4.89e-06,7.02e-06,4.14e-06
8.0,4.3e-06,6.16e-06,3.64e-06
8.5,3.81e-06,5.45e-06,3.22e-06
9.0,3.39e-06,4.86e-06,2.87e-06
9.5,3.04e-06,4.36e-06,2.57e-06
10.0,2.74e-06,3.93e-06,2.32e-06
11.0,2.26e-06,3.24e-06,1.92e-06
12.0,1.9e-06,2.72e-06,1.61e-06
13.0,1.61e-06,2.31e-06,1.37e-06
14.0,1.39e-06,1.99e-06,1.18e-06
15.0,1.21e-06,1.73e-06,1.03e-06
20.0,6.8e-07,9.7e-07,5.8e-07
